ID,sex,age,region,politica,region_custom,age_gen,z1,z2
10818,Masculino,43,Valparaíso,7,Region,Generation X,0.73180753,0.21401805
10819,Masculino,36,Metropolitana de Santiago,6,Capital City,Millennial,0.32897022,0.19923091
10820,Masculino,37,Metropolitana de Santiago,3,Capital City,Millennial,0.3572421,0.28103396
10821,Femenino,23,Metropolitana de Santiago,10,Capital City,Generation Z,0.6088337,0.7176611
10822,Masculino,42,Metropolitana de Santiago,8,Capital City,Generation X,0.60016304,0.19236057
10823,Masculino,39,Biobío,6,Region,Generation X,0.8687108,0.26780084
10824,Femenino,38,Metropolitana de Santiago,6,Capital City,Millennial,0.8591739,0.27178746
10825,Masculino,25,Metropolitana de Santiago,7,Capital City,Generation Z,0.84749967,0.385172
10826,Femenino,43,Araucanía,1,Region,Generation X,0.4462353,0.2859651
10827,Masculino,42,O'Higgins,4,Region,Generation X,0.51363873,0.26218665
10828,Masculino,35,Los Ríos,3,Region,Millennial,0.7099023,0.22609122
10829,Masculino,22,Metropolitana de Santiago,6,Capital City,Generation Z,0.62544376,0.42502418
10830,Masculino,64,Metropolitana de Santiago,7,Capital City,Baby Boomer,0.61207455,0.33193913
10831,Masculino,65,Metropolitana de Santiago,6,Capital City,Baby Boomer,0.77988005,0.39056408
10832,Femenino,61,Metropolitana de Santiago,4,Capital City,Baby Boomer,0.2075688,0.30281225
10833,Femenino,35,Metropolitana de Santiago,4,Capital City,Millennial,0.41187817,0.28241614
10834,Femenino,70,Valparaíso,3,Region,Baby Boomer,0.5721856,0.22771569
10835,Masculino,41,Valparaíso,10,Region,Generation X,0.41981354,0.19618016
10836,Masculino,21,Valparaíso,8,Region,Generation Z,0.7266345,0.26171494
10838,Masculino,38,Metropolitana de Santiago,4,Capital City,Millennial,0.3124436,0.35769007
10839,Masculino,45,O'Higgins,9,Region,Generation X,0.8819128,0.27272886
10840,Masculino,42,Metropolitana de Santiago,7,Capital City,Generation X,0.8823468,0.25973177
10841,Masculino,43,Metropolitana de Santiago,6,Capital City,Generation X,0.49068436,0.35078242
